id,name,price,expires,
1,"Pasta - Lasagna Noodle, Frozen",4.54,1/23/2019,
2,Turkey - Ground. Lean,4.47,3/12/2019,
3,Bread Base - Italian,1.24,5/3/2019,
4,Lotus Leaves,3.97,3/20/2019,
5,Scallop - St. Jaques,3.16,1/30/2019,
6,Tea - Apple Green Tea,2.37,7/8/2019,
7,Bagelers - Cinn / Brown Sugar,2.31,6/27/2019,
8,"Lemonade - Island Tea, 591 Ml",3.24,11/29/2019,
9,Onions - Vidalia,4.11,11/25/2019,
10,Figs,4.67,11/11/2019,
11,Bread Crumbs - Panko,1.71,4/16/2019,
12,Pork - Smoked Back Bacon,3.22,6/9/2019,
13,Bread - White Epi Baguette,2.37,7/9/2019,
14,Toamtoes 6x7 Select,3.05,3/19/2019,
15,Tea - Mint,2.03,3/2/2019,
16,Tomatoes Tear Drop,3.76,9/3/2019,
17,Prunes - Pitted,2.66,2/25/2019,
18,"Veal - Tenderloin, Untrimmed",3.43,2/28/2019,
19,Anchovy Fillets,1.87,2/26/2019,
20,Wine - Tribal Sauvignon,4.36,10/8/2019,
21,Bread - Italian Sesame Poly,3.38,1/28/2019,
22,Chips Potato All Dressed - 43g,4.45,7/17/2019,
23,Wine - Ej Gallo Sonoma,2.17,9/17/2019,
24,Trout - Smoked,1.42,9/14/2019,
25,Magnotta - Bel Paese White,3.27,6/28/2019,
26,"Salsify, Organic",2.16,8/10/2019,
27,Pumpkin,4.66,6/12/2019,
28,Beans - French,4.09,7/18/2019,
29,Soup - Campbells - Tomato,3.87,8/19/2019,
30,Bag Clear 10 Lb,1.79,10/31/2019,
31,"Juice - Apple, 500 Ml",3.22,3/15/2019,
32,Chocolate - Sugar Free Semi Choc,2.69,3/11/2019,
33,Chicken - Ground,1.39,10/26/2019,
34,Veal Inside - Provimi,1.53,1/21/2019,
35,Onion - Dried,1.63,5/29/2019,
36,Cumin - Whole,1.97,2/15/2019,
37,"Apple - Delicious, Red",2.96,5/28/2019,
38,Truffle Cups - Brown,1.04,12/22/2019,
39,Aspic - Amber,4.36,7/5/2019,
40,Icecream - Dstk Cml And Fdg,2.98,9/3/2019,
41,Bread - Pain Au Liat X12,1.66,5/4/2019,
42,Sauce Bbq Smokey,3.32,7/27/2019,
43,Nut - Macadamia,2.32,12/16/2019,
44,Bread - Malt,2.56,8/30/2019,
45,Bread - Hamburger Buns,4.43,8/30/2019,
46,Hold Up Tool Storage Rack,3.66,2/3/2019,
47,Banana - Leaves,4.8,1/9/2019,
48,Mackerel Whole Fresh,3.98,7/25/2019,
49,Scotch - Queen Anne,2.14,5/20/2019,
50,Bread Bowl Plain,2.09,12/4/2019,
51,Pomello,4.37,10/23/2019,
52,Truffle Shells - White Chocolate,3.77,6/10/2019,
53,Appetizer - Shrimp Puff,4.6,1/20/2019,
54,"Chilli Paste, Ginger Garlic",2.54,8/11/2019,
55,Muffins - Assorted,2.89,2/23/2019,
56,Wine - Maipo Valle Cabernet,2.82,3/13/2019,
57,Tomato - Green,1.07,7/6/2019,
58,"Gingerale - Schweppes, 355 Ml",1.15,6/3/2019,
59,Soup - Campbells Chicken,3.96,7/25/2019,
60,"Wine - Red, Mouton Cadet",4.47,1/7/2019,
61,Veal - Eye Of Round,4.84,3/17/2019,
62,Veal Inside - Provimi,4.66,6/6/2019,
63,Savory,4,12/14/2019,
64,Container - Hngd Cll Blk 7x7x3,3.22,11/9/2019,
65,Wine - Guy Sage Touraine,1.48,5/18/2019,
66,Lettuce - Red Leaf,1.88,1/7/2019,
67,"Wine - Red, Marechal Foch",4.99,3/2/2019,
68,"Chicken - Wings, Tip Off",2.5,4/6/2019,
69,V8 - Vegetable Cocktail,2.72,10/30/2019,
70,Island Oasis - Raspberry,3.64,3/25/2019,
71,Table Cloth 81x81 Colour,2.51,6/27/2019,
72,Olives - Nicoise,2.31,7/4/2019,
73,Cream - 10%,4.2,5/18/2019,
74,Cookie Dough - Chocolate Chip,1.99,7/20/2019,
75,Eggplant - Baby,4.97,1/17/2019,
76,Lotus Rootlets - Canned,3.19,1/8/2019,
77,Apricots - Halves,2.12,4/17/2019,
78,Veal - Eye Of Round,1.09,8/1/2019,
79,"Pork - Bacon, Sliced",4.3,5/28/2019,
80,Chocolate - Semi Sweet,4.96,5/7/2019,
81,"Cheese - Cheddar, Mild",1.32,12/30/2019,
82,Cheese - Gouda,4.59,2/19/2019,
83,"Potatoes - Yukon Gold, 80 Ct",2.57,10/26/2019,
84,Ice Cream Bar - Drumstick,1.55,6/11/2019,
85,Beef - Montreal Smoked Brisket,2.88,7/10/2019,
86,Rabbit - Whole,1.73,7/9/2019,
87,Snapple - Iced Tea Peach,3.32,3/20/2019,
88,Magnotta - Bel Paese White,1.21,1/18/2019,
89,Plastic Arrow Stir Stick,3.5,4/9/2019,
90,Scallops - 20/30,2,2/22/2019,
91,Pastry - Apple Large,1.37,1/26/2019,
92,Pork Ham Prager,3.47,4/26/2019,
93,Amaretto,2.14,4/2/2019,
94,Sage - Rubbed,1.71,4/29/2019,
95,Kellogs Cereal In A Cup,4.01,2/9/2019,
96,Bread - Italian Corn Meal Poly,2.15,8/3/2019,
97,Cake - Box Window 10x10x2.5,4.08,6/23/2019,
98,"Potatoes - Purple, Organic",1.07,2/25/2019,
99,Wine - Kwv Chenin Blanc South,1.87,9/15/2019,
100,Chocolate - Mi - Amere Semi,1.62,10/16/2019,
101,"Crab - Claws, Snow 16 - 24",4.94,2/26/2019,
102,"Vodka - Hot, Lnferno",3.85,12/12/2019,
103,Chives - Fresh,1.6,11/15/2019,
104,"Wine - Red, Harrow Estates, Cab",3.36,2/10/2019,
105,Pork - Side Ribs,4.85,10/29/2019,
106,"Syrup - Monin, Irish Cream",4.21,5/6/2019,
107,Mackerel Whole Fresh,1.88,2/7/2019,
108,Garlic Powder,2.27,12/16/2019,
109,Chips - Potato Jalapeno,1.54,12/30/2019,
110,Ham - Virginia,1.06,6/28/2019,
111,Breadfruit,2.96,12/8/2019,
112,Macaroons - Homestyle Two Bit,3.69,11/6/2019,
113,Table Cloth 54x54 White,4.92,3/25/2019,
114,Bread - Corn Muffaletta,1.53,5/25/2019,
115,Pears - Fiorelle,3.46,5/28/2019,
116,Nectarines,3.75,6/18/2019,
117,"Pepsi - Diet, 355 Ml",3.87,10/11/2019,
118,Nestea - Iced Tea,1.73,8/26/2019,
119,Cod - Black Whole Fillet,3.64,11/9/2019,
120,Tandoori Curry Paste,1.23,11/2/2019,
121,Chick Peas - Dried,4.68,8/31/2019,
122,Sugar - Palm,4.32,2/6/2019,
123,Wine - Shiraz Wolf Blass Premium,3.59,12/2/2019,
124,Creme De Banane - Marie,1.9,1/12/2019,
125,Lighter - Bbq,3.31,7/20/2019,
